Stop,Line,Arrival,Arrival_predicted,Departure
Basel SBB,IR36,2022-05-30T07:48:00,,
Basel SBB,IR36,,,2022-05-30T06:11:00
Basel SBB,IR36,2022-05-30T08:50:00,2022-05-30T08:55:22,
Basel SBB,IR36,,,2022-05-30T07:11:00
Basel SBB,IR36,2022-05-30T11:48:00,,
Basel SBB,IR36,,,
Basel SBB,IR36,2022-05-30T19:48:00,,
Basel SBB,IR36,2022-05-30T21:48:00,,
Basel SBB,IR36,,,2022-05-30T20:11:00
Basel SBB,IR36,2022-05-31T00:48:00,,
Basel SBB,IR36,,,2022-05-30T23:11:00
Basel SBB,ICE,,,2022-05-30T07:13:00
Basel SBB,ICE,,,2022-05-30T19:13:00
Basel SBB,ICE,,,2022-05-30T08:02:00
Bern,EC,2022-05-30T12:52:00,2022-05-30T12:53:01,2022-05-30T13:04:00
Basel SBB,EC,2022-05-30T11:35:00,2022-05-30T11:34:10,
Basel SBB,EC,,,2022-05-30T06:25:00
Bern,EC,2022-05-30T07:26:00,2022-05-30T07:28:40,2022-05-30T07:34:00
Bern,EC,2022-05-30T11:26:00,2022-05-30T11:25:55,2022-05-30T11:34:00
Bern,EC,,2022-05-30T13:25:21,2022-05-30T13:34:00
Basel SBB,IC61,2022-05-30T08:35:00,2022-05-30T08:40:37,
Bern,IC61,2022-05-30T10:26:00,2022-05-30T10:26:41,2022-05-30T10:34:00
Bern,IC61,2022-05-30T11:24:00,2022-05-30T11:24:49,2022-05-30T11:36:00
Basel SBB,IC61,,,2022-05-30T13:25:00
Bern,IC6,2022-05-30T16:24:00,2022-05-30T16:26:07,2022-05-30T16:36:00
Bern,IC61,2022-05-30T16:26:00,2022-05-30T16:25:57,2022-05-30T16:34:00
Basel SBB,IC61,,,2022-05-30T18:25:00
Basel SBB,IC6,,,2022-05-30T20:25:00
Bern,IC6,2022-05-30T22:26:00,2022-05-30T22:25:19,
Bern,IC61,2022-05-30T23:26:00,2022-05-30T23:29:51,2022-05-30T23:39:00
Basel SBB,TGV,2022-05-30T08:30:00,2022-05-30T08:37:00,
Basel SBB,TGV,,,2022-05-30T15:30:00
Basel SBB,TGV,2022-05-30T18:30:00,2022-05-30T18:31:32,
Bern,ICE,,2022-05-30T10:53:59,2022-05-30T11:04:00
Basel SBB,ICE,2022-05-30T12:02:00,2022-05-30T12:02:03,
Basel SBB,IC6,2022-05-30T23:38:00,2022-05-30T23:36:37,
Basel SBB,IC3,,,2022-05-30T06:30:00
Basel SBB,IC61,,,2022-05-30T05:22:00
Basel SBB,IC3,,,2022-05-30T17:30:00
Basel SBB,IC3,2022-05-30T21:30:00,2022-05-30T21:30:13,
Bern,IC61,2022-05-30T11:24:00,,2022-05-30T11:36:00
Bern,IC6,2022-05-30T12:24:00,,2022-05-30T12:36:00
Basel SBB,IC21,,2022-05-30T23:02:02,
