,average_speed_mph,average_heartrate,moving_time_h,total_elevation_gain
0,3.181,158.3,0.78,249.0
1,2.727,127.4,0.19,41.0
2,1.584,107.0,2.03,172.0
3,3.092,132.8,0.87,22.0
4,3.18,142.5,0.85,14.0
5,3.182,137.2,0.81,13.0
6,2.98,134.6,0.83,9.0
7,1.37,118.7,0.63,0.0
8,2.035,135.2,1.28,674.0
9,3.0860000000000003,144.0,0.82,179.0
10,3.0610000000000004,143.4,0.66,143.0
11,2.742,76.0,0.74,175.0
12,3.103,140.1,1.31,111.0
13,3.2560000000000002,143.3,1.0,79.0
14,3.281,151.7,1.62,116.0
15,4.775,95.7,2.29,112.0
16,0.0,125.0,1.11,0.0
17,2.997,132.8,0.65,12.0
18,3.4539999999999997,145.3,0.95,10.0
19,3.009,127.1,0.46,2.0
20,4.567,107.2,0.02,8.0
21,4.313,173.6,0.65,33.0
22,2.813,131.0,0.46,18.0
23,2.957,73.3,1.02,428.0
24,3.185,138.9,0.12,24.0
25,3.056,145.1,0.11,4.0
26,4.505,168.5,0.32,12.0
27,3.2289999999999996,129.2,0.34,9.0
28,3.503,137.2,1.15,46.0
29,3.4619999999999997,138.1,0.86,16.0
30,2.8960000000000004,129.7,1.63,332.0
31,3.12,141.7,0.87,460.0
32,3.405,130.0,0.13,1.0
33,3.56,137.2,0.26,3.0
34,3.307,120.6,0.28,2.0
35,3.127,131.9,0.12,2.0
36,4.164,164.8,0.34,3.0
37,3.197,132.1,0.25,2.0
38,3.576,142.2,0.69,29.0
39,3.139,130.5,1.09,29.0
40,2.807,128.2,0.77,241.0
41,2.839,124.2,0.8,50.0
42,2.9930000000000003,131.1,0.6,7.0
43,3.092,129.5,0.54,4.0
44,3.346,146.1,1.15,31.0
45,3.009,136.4,1.03,41.0
46,3.267,140.0,0.79,30.0
47,3.327,153.0,0.42,166.0
48,3.009,157.1,0.25,7.0
49,3.29,133.4,0.47,15.0
50,3.003,130.7,0.59,3.0
51,3.2439999999999998,138.0,0.84,9.0
