,Unnamed: 0,average_speed_mph,average_heartrate,moving_time_h,total_elevation_gain,average_speed_kmph,length_km
0,0,3.181,158.3,0.78,249.0,5.11931054,3.9930622212
1,1,2.727,127.4,0.19,41.0,4.38867018,0.8338473342
2,2,1.584,107.0,2.03,172.0,2.54919456,5.1748649568
3,3,3.092,132.8,0.87,22.0,4.97607928,4.3291889736
4,4,3.18,142.5,0.85,14.0,5.1177012,4.35004602
5,5,3.182,137.2,0.81,13.0,5.12091988,4.1479451028000005
6,6,2.98,134.6,0.83,9.0,4.7958332,3.9805415559999995
7,7,1.37,118.7,0.63,0.0,2.2047958000000003,1.3890213540000003
8,8,2.035,135.2,1.28,674.0,3.2750069,4.192008832
9,9,3.0860000000000003,144.0,0.82,179.0,4.96642324,4.0724670568
10,10,3.0610000000000004,143.4,0.66,143.0,4.926189740000001,3.2512852284000004
11,11,2.742,76.0,0.74,175.0,4.4128102799999995,3.2654796071999996
12,12,3.103,140.1,1.31,111.0,4.99378202,6.5418544462
13,13,3.256,143.3,1.0,79.0,5.24001104,5.24001104
14,14,3.281,151.7,1.62,116.0,5.28024454,8.5539961548
15,15,4.775,95.7,2.29,112.0,7.684598500000001,17.597730565000003
16,16,0.0,125.0,1.11,0.0,0.0,0.0
17,17,2.997,132.8,0.65,12.0,4.82319198,3.135074787
18,18,3.454,145.3,0.95,10.0,5.55866036,5.280727342
19,19,3.009,127.1,0.46,2.0,4.8425040599999996,2.2275518676
20,20,4.567,107.2,0.02,8.0,7.34985578,0.1469971156
21,21,4.313,173.6,0.65,33.0,6.941083419999999,4.511704223
22,22,2.813,131.0,0.46,18.0,4.527073420000001,2.0824537732000006
23,23,2.957,73.3,1.02,428.0,4.75881838,4.8539947476
24,24,3.185,138.9,0.12,24.0,5.1257479,0.615089748
25,25,3.056,145.1,0.11,4.0,4.91814304,0.5409957344
26,26,4.505,168.5,0.32,12.0,7.2500767,2.3200245440000002
27,27,3.229,129.2,0.34,9.0,5.196558860000001,1.7668300124000003
28,28,3.503,137.2,1.15,46.0,5.63751802,6.483145723
29,29,3.462,138.1,0.86,16.0,5.57153508,4.7915201688
30,30,2.8960000000000004,129.7,1.63,332.0,4.660648640000001,7.5968572832
31,31,3.12,141.7,0.87,460.0,5.0211408,4.368392496
32,32,3.405,130.0,0.13,1.0,5.4798027,0.712374351
33,33,3.56,137.2,0.26,3.0,5.7292504,1.489605104
34,34,3.307,120.6,0.28,2.0,5.32208738,1.4901844664000001
35,35,3.127,131.9,0.12,2.0,5.03240618,0.6038887416
36,36,4.164,164.8,0.34,3.0,6.701291759999999,2.2784391984
37,37,3.197,132.1,0.25,2.0,5.14505998,1.286264995
38,38,3.576,142.2,0.69,29.0,5.75499984,3.9709498895999995
39,39,3.139,130.5,1.09,29.0,5.0517182599999995,5.5063729034
40,40,2.807,128.2,0.77,241.0,4.5174173799999995,3.4784113825999996
41,41,2.839,124.2,0.8,50.0,4.56891626,3.655133008
42,42,2.9930000000000003,131.1,0.6,7.0,4.81675462,2.890052772
43,43,3.092,129.5,0.54,4.0,4.97607928,2.6870828112000003
44,44,3.346,146.1,1.15,31.0,5.38485164,6.192579385999999
45,45,3.009,136.4,1.03,41.0,4.8425040599999996,4.9877791818
46,46,3.267,140.0,0.79,30.0,5.25771378,4.1535938861999995
47,47,3.327,153.0,0.42,166.0,5.35427418,2.2487951556
48,48,3.009,157.1,0.25,7.0,4.8425040599999996,1.2106260149999999
49,49,3.29,133.4,0.47,15.0,5.2947286,2.488522442
50,50,3.003,130.7,0.59,3.0,4.83284802,2.8513803317999997
51,51,3.244,138.0,0.84,9.0,5.22069896,4.3853871263999995
52,52,2.86,131.8,0.68,3.0,4.6027124,3.129844432
53,53,3.375,143.6,0.52,11.0,5.4315225,2.8243917
54,54,2.776,119.5,0.67,4.0,4.46752784,2.9932436528
55,55,3.095,151.7,1.08,20.0,4.9809073,5.3793798840000004
56,56,3.027,87.3,0.37,21.0,4.8714721800000005,1.8024447066000002
57,57,2.648,124.0,0.47,38.0,4.261532320000001,2.0029201904000002
58,58,3.314,153.8,0.52,28.0,5.33335276,2.7733434352
59,59,3.196,148.4,0.74,42.0,5.14345064,3.8061534736000002
60,60,3.411,151.2,0.82,43.0,5.48945874,4.5013561668
61,61,3.54,162.4,0.38,14.0,5.6970636,2.164884168
62,62,2.92,129.3,0.23,1.0,4.6992728,1.080832744
63,63,3.065,143.1,1.15,173.0,4.9326270999999995,5.672521164999999
64,64,3.2960000000000003,134.5,0.44,183.0,5.30438464,2.3339292416000004
65,65,2.838,128.9,0.16,6.0,4.56730692,0.7307691072
66,66,3.392,150.3,0.84,75.0,5.45888128,4.5854602752
67,67,3.281,141.9,0.71,32.0,5.28024454,3.7489736234
68,68,2.89,144.8,0.66,17.0,4.6509926,3.0696551160000003
69,69,3.014,127.4,0.76,38.0,4.85055076,3.6864185776
70,70,3.347,141.4,1.65,71.0,5.38646098,8.887660617
71,71,3.359,140.8,1.27,47.0,5.40577306,6.8653317862
72,72,2.221,139.7,0.14,2.0,3.57434414,0.5004081796000001
73,73,3.597,168.3,0.7,240.0,5.78879598,4.052157186
74,74,3.111,134.9,0.19,5.0,5.00665674,0.9512647806000001
75,75,2.95,146.9,0.37,90.0,4.747553,1.75659461
76,76,2.262,145.3,0.97,374.0,3.64032708,3.5311172676
77,77,3.233,141.3,0.8,239.0,5.20299622,4.162396976
78,78,2.857,133.8,0.18,8.0,4.59788438,0.8276191883999999
79,79,1.937,137.6,0.66,206.0,3.1172915800000003,2.0574124428000005
80,80,2.902,139.3,0.4,20.0,4.67030468,1.8681218720000001
81,81,2.555,140.6,0.6,120.0,4.111863700000001,2.46711822
82,82,2.756,140.5,0.57,32.0,4.43534104,2.5281443928
83,83,2.937,149.5,0.61,51.0,4.726631579999999,2.8832452637999997
84,84,3.044,131.6,0.23,8.0,4.89883096,1.1267311208
85,85,2.537,111.6,0.59,219.0,4.08289558,2.4089083922
86,86,2.949,131.1,0.5,53.0,4.74594366,2.37297183
87,87,3.307,142.3,1.03,81.0,5.32208738,5.4817500014
88,88,3.35,149.3,1.07,50.0,5.391289,5.768679230000001
89,89,2.8560000000000003,130.9,0.71,32.0,4.59627504,3.2633552783999997
90,90,3.0010000000000003,136.5,0.8,29.0,4.82962934,3.8637034720000005
91,91,1.992,166.5,0.52,502.0,3.20580528,1.6670187456
92,92,2.915,118.3,0.11,22.0,4.6912261,0.516034871
93,93,2.114,135.5,0.04,0.0,3.4021447599999997,0.1360857904
94,94,2.197,170.1,0.25,247.0,3.53571998,0.883929995
95,95,3.07,118.3,0.17,0.0,4.9406738,0.839914546
96,96,2.613,152.4,2.81,90.0,4.2052054199999995,11.816627230199998
97,97,3.306,140.8,1.12,48.0,5.32047804,5.958935404800001
98,98,5.2,92.9,0.53,17.0,8.368568,4.43534104
99,99,1.382,135.9,0.7,0.0,2.22410788,1.5568755159999998
100,100,2.804,123.2,0.2,0.0,4.51258936,0.902517872
101,101,5.266,140.4,0.59,29.0,8.47478444,5.0001228196000005
102,102,0.7040000000000001,132.4,0.79,0.0,1.13297536,0.8950505344000002
103,103,2.899,128.1,0.22,29.0,4.66547666,1.0264048652000002
104,104,6.148,139.2,0.48,18.0,9.894222319999999,4.7492267136
105,105,2.875,129.6,0.13,6.0,4.6268525,0.6014908250000001
106,106,3.544,171.7,0.62,27.0,5.70350096,3.5361705952
107,107,3.059,128.6,0.18,6.0,4.92297106,0.8861347908
108,108,2.781,109.7,0.08,2.0,4.47557454,0.35804596320000004
109,109,2.405,133.1,0.53,342.0,3.8704626999999996,2.051345231
110,110,3.214,127.0,0.1,7.0,5.17241876,0.517241876
111,111,2.127,120.3,0.22,234.0,3.4230661799999997,0.7530745595999999
112,112,2.963,124.0,0.03,0.0,4.76847442,0.1430542326
113,113,1.893,114.5,0.14,0.0,3.04648062,0.42650728680000005
114,114,1.932,165.2,0.51,437.0,3.10924488,1.5857148887999999
115,115,5.773,131.5,0.41,16.0,9.29071982,3.8091951261999997
116,116,3.084,148.6,0.61,171.0,4.96320456,3.0275547816
117,117,5.973,119.2,0.37,12.0,9.61258782,3.5566574934
118,118,2.202,117.6,0.89,60.0,3.54376668,3.1539523452
119,119,3.629,149.3,1.19,53.0,5.84029486,6.9499508834
120,120,3.227,137.0,0.68,27.0,5.19334018,3.5314713224000003
121,121,3.687,90.0,0.4,0.0,5.93363658,2.373454632
122,122,1.046,123.3,1.24,22.0,1.68336964,2.0873783536
123,123,1.253,160.6,1.22,940.0,2.01650302,2.4601336844
124,124,2.728,153.9,0.17,87.0,4.39027952,0.7463475184
125,125,2.7960000000000003,112.8,0.42,2.0,4.4997146400000005,1.8898801488
126,126,2.101,168.6,0.65,0.0,3.38122334,2.197795171
127,127,1.793,104.0,0.14,34.0,2.88554662,0.4039765268
128,128,3.583,147.3,0.76,22.0,5.76626522,4.3823615672
129,129,3.137,127.6,0.67,32.0,5.04849958,3.3824947186
130,130,2.5580000000000003,149.9,5.66,2120.0,4.11669172,23.300475135200003
131,131,3.424,142.3,0.75,27.0,5.5103801599999995,4.132785119999999
132,132,3.1860000000000004,143.0,1.14,42.0,5.12735724,5.8451872536
133,133,3.383,137.9,0.94,42.0,5.44439722,5.1177333867999995
134,134,3.525,150.1,1.22,47.0,5.6729235,6.920966669999999
135,135,3.108,130.0,0.73,31.0,5.00182872,3.6513349656
136,136,3.47,148.1,1.18,35.0,5.5844098,6.589603564
