,average_speed_kmph,average_heartrate,moving_time,total_elevation_gain
0,5.05654628,,1:00:42,73.0
1,5.4878494,,0:46:22,36.1
2,5.26736982,,0:45:05,16.0
3,5.244839059999999,,0:39:28,10.0
4,5.18529348,,0:39:37,12.0
5,4.71053818,,0:55:12,87.0
6,4.95998588,,0:52:13,53.0
7,5.11931054,158.3,0:46:57,249.0
8,4.38867018,127.4,0:11:18,41.0
9,5.236792359999999,,0:40:53,2.0
10,4.87951888,,0:52:19,172.0
11,3.3924887200000002,,0:11:45,26.0
12,3.07866742,,1:59:13,911.0
13,7.967842340000001,,0:52:50,244.0
14,2.4301034,,3:28:24,440.0
15,4.28406308,,0:33:22,165.0
16,2.54919456,107.0,2:02:03,172.0
17,4.70249148,,0:29:29,107.0
18,4.3242965799999995,,0:55:52,252.0
19,4.76686508,,0:32:34,13.0
20,4.968032579999999,,0:46:22,19.0
21,4.67352336,,0:52:12,32.0
22,4.47718388,,0:28:40,25.0
23,4.82802,,1:30:15,117.0
24,4.97607928,132.8,0:52:20,22.0
25,5.78718664,,1:03:42,57.7
26,4.8875655799999995,,0:53:09,29.0
27,4.894002940000001,,0:31:45,11.0
28,3.6757325600000006,,0:03:13,0.0
29,5.603721879999999,,0:48:20,224.0
30,4.110254360000001,,0:19:12,59.0
31,5.1257479,,0:33:41,7.0
32,5.76626522,,0:54:22,26.0
33,2.18548372,,0:36:50,0.0
34,4.81514528,,0:32:20,7.0
35,4.6654766599999995,,1:08:31,33.0
36,4.968032579999999,,0:48:21,66.0
37,5.1177012,142.5,0:50:45,14.0
38,5.12091988,137.2,0:48:50,13.0
39,4.7958332,134.6,0:49:40,9.0
40,2.9000306799999995,,0:49:17,459.0
41,4.60593108,,0:11:45,43.0
42,5.45727194,,0:12:53,9.0
43,4.48362124,,0:08:05,19.0
44,3.33455248,,0:27:01,465.0
45,5.33979012,,0:38:25,56.0
46,2.2047958000000003,118.7,0:37:37,0.0
47,5.460490620000001,,0:47:35,7.0
48,2.0647832200000003,,2:24:06,702.0
49,5.48141204,,0:44:08,33.0
50,5.25127642,,0:33:04,9.0
51,3.2750069,135.2,1:16:31,674.0
52,3.7030913400000003,,1:26:13,799.0
53,4.79422386,,0:46:58,33.0
54,5.41703844,,0:38:02,7.0
55,5.1692000799999995,,0:52:07,89.0
56,5.1337946,,0:40:15,8.0
57,5.21908962,,0:44:35,152.0
58,5.0356248599999995,,0:36:55,11.0
59,4.96642324,144.0,0:49:01,179.0
60,1.9971909399999999,,0:31:12,99.0
61,4.926189740000001,143.4,0:39:24,143.0
62,5.544176299999999,,0:57:16,178.0
63,1.96661348,,1:26:19,292.0
64,5.4653186400000004,,0:44:27,37.0
65,5.3188687,,0:10:53,2.0
66,4.88917492,,1:08:38,28.0
67,4.56891626,,0:32:05,18.0
68,5.135403940000001,,0:29:30,6.0
69,5.2384017,,0:55:13,20.0
70,7.46090024,,0:42:37,34.0
71,7.575163379999999,,0:47:22,42.0
72,5.04689024,,0:35:06,19.0
73,4.77491178,,0:33:45,4.0
74,2.37216716,,1:25:11,466.0
75,1.7252124800000002,,4:49:08,1135.0
76,2.3737765,,1:15:17,202.0
77,5.0855144,,0:51:54,35.0
78,8.782168380000002,,0:36:57,34.0
79,4.4128102799999995,76.0,0:44:30,175.0
80,4.98251664,,0:36:18,46.0
81,4.91492436,,0:46:58,49.0
82,5.02275014,,0:33:44,29.0
83,3.99599122,,0:36:20,221.0
84,4.92136172,,0:40:36,14.0
85,5.22552698,,0:55:23,47.0
86,5.1579347,,0:31:07,11.0
87,6.485640200000001,,0:35:53,16.0
88,7.16478168,,0:22:28,11.0
89,7.9179528,,0:20:18,9.0
90,5.040452879999999,,0:19:59,3.0
91,7.428713440000001,,1:32:54,76.0
92,7.055346559999999,,0:59:02,31.0
93,6.84935104,,1:02:08,61.0
94,4.765255740000001,,0:28:06,57.0
95,7.0247691,,0:51:52,38.0
96,2.11467276,,12:03:23,3230.0
97,2.7680648,,14:58:14,5512.0
98,4.6509926,,0:29:47,62.0
99,5.233573679999999,,0:26:32,70.0
100,4.7813491400000006,,0:37:18,180.0
101,4.87951888,,0:32:48,87.0
102,2.00684698,,1:08:32,511.0
103,3.31684974,,1:11:22,621.0
104,4.54155748,,0:05:30,2.0
105,5.12735724,,0:43:04,35.0
106,4.82319198,,0:42:50,74.0
107,4.99378202,140.1,1:18:27,111.0
108,1.91350526,,1:04:44,8.0
109,7.00223834,,2:45:35,133.0
110,5.240011040000001,143.3,1:00:09,79.0
111,5.17563744,,0:42:25,8.0
112,10.00043876,,0:32:14,34.0
113,1.18769292,,0:58:31,0.0
114,9.440388440000001,,0:34:21,30.0
115,6.80911754,,0:09:27,3.0
116,7.166391020000001,,0:07:03,4.0
117,5.27702586,,0:51:10,21.0
118,4.83284802,,0:09:03,3.0
119,5.082295719999999,,0:37:07,23.0
120,5.28024454,151.7,1:37:20,116.0
121,4.834457359999999,,0:56:02,28.0
122,4.70088214,,0:45:38,75.0
123,5.08873308,,0:34:16,4.0
124,9.926409119999999,,0:32:31,40.0
125,10.256323819999999,,0:31:26,25.0
126,7.684598500000001,95.7,2:17:36,112.0
127,5.2786352,,0:45:20,60.0
128,7.13581356,,0:46:39,34.0
129,7.491477700000001,,0:45:06,27.0
130,9.90709704,,0:32:40,37.0
131,6.64335552,,0:05:54,5.0
132,0.0,125.0,1:06:49,0.0
133,0.98491608,,0:45:37,0.0
134,5.31243134,,0:47:29,18.0
135,9.327734640000001,,1:56:27,113.0
136,5.32530606,,0:52:56,82.0
137,5.3349621,,0:30:56,13.0
138,6.7672747,,1:22:07,66.0
139,5.4218664599999995,,0:51:38,12.0
140,4.59949372,,0:41:14,68.0
141,5.1659814,,0:34:22,6.0
142,5.188512159999999,,0:55:28,199.0
143,4.48040256,,0:02:44,0.0
144,4.615587120000001,,0:53:23,261.0
145,3.00785646,,0:50:36,76.0
146,2.42044736,,1:11:29,109.0
147,3.98955386,,0:06:56,25.0
148,5.08873308,,1:02:57,103.0
149,8.6341091,,0:36:35,14.0
150,5.00182872,,0:57:02,95.0
151,7.58964744,,0:59:02,45.0
152,4.255094959999999,,0:39:51,240.0
153,5.3317434200000005,,0:45:34,36.0
154,5.60211254,,0:48:46,7.0
155,4.9487205,,0:44:21,14.0
156,5.35749286,,0:41:16,18.0
157,4.87790954,,0:37:59,12.0
158,1.67693228,,1:49:20,295.0
159,3.1848838600000002,,2:53:57,1262.0
160,5.296337940000001,,0:28:37,4.0
161,7.45285354,,1:09:10,59.0
162,7.99520112,,1:09:44,66.0
163,5.04206222,,0:48:21,57.0
164,4.82319198,132.8,0:38:46,12.0
165,7.40779202,,0:54:24,33.0
166,2.9032493600000002,,0:35:13,50.0
167,2.39630726,,13:38:04,5194.0
168,5.1981682,,0:30:34,6.0
169,4.625243159999999,,0:49:35,33.0
170,4.98412598,,0:45:17,9.0
171,5.58762848,,1:42:32,50.0
172,5.558660359999999,145.3,0:56:57,10.0
173,4.514198700000001,,0:51:06,8.0
174,4.95032984,,0:39:22,22.0
175,5.99318216,,0:57:56,37.0
176,7.2597327400000005,,1:18:23,65.0
177,4.64133656,,0:20:37,43.0
178,5.00343806,,1:17:54,255.0
179,5.08712374,,0:38:47,48.0
180,3.9171335600000003,,0:44:32,433.5
181,4.00242858,,1:07:00,515.5
182,2.71817526,,0:08:21,98.0
183,1.89580252,,2:54:43,573.0
184,2.58942806,,0:57:38,14.0
185,5.86121628,,0:59:28,48.0
186,4.9165337000000005,,0:38:52,5.0
187,5.1740281,,0:26:00,198.0
188,4.22129882,,0:10:47,19.0
189,5.4556626,,0:05:25,1.0
190,4.6509926,,1:26:33,395.0
191,5.77270258,,1:07:29,24.0
192,5.3751956,,1:10:35,58.0
193,5.1901215,,1:04:49,37.6
194,5.37197692,,0:33:02,17.6
195,5.29794728,,1:00:12,69.4
196,4.8875655799999995,,0:43:22,8.0
197,4.33395262,,0:45:43,4916.0
198,5.429913159999999,,1:47:39,112.0
199,4.894002940000001,,0:43:18,19401.0
200,3.30236568,,1:02:28,547.0
201,4.86342548,,0:23:28,79.0
202,1.66244822,,3:20:14,827.0
203,2.02133104,,2:01:44,528.0
204,3.6564204799999995,,0:51:23,321.0
205,5.26736982,,1:54:10,17469.0
206,2.8050796200000003,,0:59:36,23.0
207,4.80709858,,0:20:17,1.0
208,4.8425040599999996,127.1,0:27:18,2.0
209,7.34985578,107.2,0:01:04,8.0
210,6.941083419999999,173.6,0:38:42,33.0
211,4.527073420000001,131.0,0:27:45,18.0
212,4.869862840000001,,0:29:34,14.0
213,5.328524740000001,,0:49:31,11.0
214,9.047709480000002,,1:03:08,78.0
215,5.3172593599999995,,0:45:41,71.0
216,5.1901215,,0:24:58,7.0
217,5.758218520000001,,0:51:13,17.0
218,5.800061359999999,,0:42:56,19.0
219,5.0790770400000005,,0:35:35,18.0
220,4.67352336,,0:38:52,4.0
221,5.86443496,,0:57:55,16.0
222,4.75881838,73.3,1:01:14,428.0
223,6.4727654800000005,,4:12:38,28620.0
224,6.0672118,,0:54:32,0.0
225,5.23518302,,0:30:33,10.0
226,1.92637998,,0:53:51,192.0
227,5.46209996,,0:44:17,14656.0
228,5.54095762,,0:37:35,5.0
229,3.78033966,,0:18:35,155.0
230,3.4198475,,0:50:28,542.0
231,2.3930885799999997,,4:04:32,18957.0
232,5.14345064,,0:39:59,47.0
233,5.5538323400000005,,1:45:13,5302.0
234,5.1257479,138.9,0:07:12,24.0
235,4.91814304,145.1,0:06:27,4.0
236,7.2500767,168.5,0:19:03,12.0
237,5.19655886,129.2,0:20:14,9.0
238,5.0533276,,0:39:35,33.0
239,5.4878494,,0:42:14,0.0
240,5.15310668,,0:39:20,9.0
241,5.824201459999999,,0:54:42,22.0
242,5.48141204,,0:30:29,17.0
243,5.58280046,,1:01:01,62.0
244,5.4154291,,0:42:54,47.0
245,5.39611702,,0:33:22,21.0
246,2.5846000399999998,,1:00:56,19.0
247,5.096779779999999,,0:20:00,0.0
248,3.7545902200000003,,1:04:44,0.0
249,3.1108542200000002,,0:50:00,0.0
250,2.6827697799999997,,0:31:00,0.0
251,5.31565002,,1:38:38,108.0
252,4.1907213599999995,,0:04:28,6.0
253,6.23458316,,0:39:54,254.0
254,4.80227056,,0:13:36,61.0
255,5.135403940000001,,0:34:39,7.0
256,5.41221042,,0:43:31,9.0
257,5.9304179,,0:58:53,102.0
258,5.2721978400000005,,0:33:55,17.0
259,5.85960694,,0:39:40,65.0
260,5.0533276,,0:06:32,1.0
261,2.39147924,,0:31:38,0.0
262,5.2271363200000005,,0:07:01,0.0
263,5.81293608,,0:50:17,2739.0
264,5.43635052,,0:31:48,11.0
265,4.95032984,,1:28:40,231.0
266,5.4218664599999995,,0:47:46,243.0
267,5.09838912,,0:38:48,6.0
268,5.25610444,,0:06:34,2.0
269,3.3554739,,0:38:52,0.0
270,5.17080942,,0:07:05,4.0
271,5.87087232,,0:47:00,8.0
272,3.8769000600000005,,1:08:05,16.0
273,3.1832745200000003,,1:15:32,644.0
274,3.5019238400000003,,1:22:22,670.0
275,4.14083182,,0:46:01,470.0
276,2.01650302,,1:31:37,469.0
277,5.63751802,137.2,1:09:08,46.0
278,5.53934828,,0:30:51,8.0
279,4.9245804,,0:43:54,7.0
280,4.6590393,,1:32:47,276.0
281,4.47718388,,0:02:48,3.0
282,5.68579822,,0:43:38,257.0
283,4.2406109,,0:19:28,70.0
284,5.083905059999999,,0:54:40,11.0
285,5.37680494,,0:48:18,16.0
286,5.233573679999999,,0:29:41,7.0
287,5.32530606,,0:06:55,0.0
288,2.94992022,,0:30:00,0.0
289,5.28507256,,0:04:09,2.5
290,5.2544951,,1:19:35,204.0
291,5.571535079999999,138.1,0:51:20,16.0
292,5.36875824,,1:00:07,26.0
293,5.18529348,,0:34:45,5.0
294,5.10804516,,0:30:09,13.0
295,4.908487,,1:28:51,248.0
296,4.05070878,,0:02:14,2.0
297,5.626252640000001,,0:43:01,246.0
298,4.4578718,,0:13:24,49.0
299,4.8923936,,0:36:18,10.0
300,5.062983640000001,,0:39:24,81.0
301,4.2325642,,0:45:00,0.0
302,4.79261452,,0:24:21,23.0
303,4.660648640000001,129.7,1:37:55,332.0
304,5.10643582,,0:51:33,86.0
305,5.14505998,,0:43:17,16.0
306,5.194949520000001,,0:06:07,0.0
307,3.2830536,,0:40:02,0.0
308,5.355883520000001,,0:06:32,4.9
309,5.21748028,,0:29:33,49.4
310,5.141841299999999,,0:57:45,110.5
311,5.87891902,,0:41:04,0.0
312,5.0211408,141.7,0:52:20,460.0
313,5.571535079999999,,0:42:31,29.0
314,5.28185388,,0:40:01,40.0
315,5.096779779999999,,0:38:26,351.0
316,5.28024454,,0:38:47,835.0
317,5.25932312,,0:28:18,3.0
318,5.18690282,,0:24:10,30.0
319,5.6005032,,0:35:01,9.0
320,5.41703844,,0:46:18,8.0
