,country,date,people_fully_vaccinated,daily_vaccinations
0,Afghanistan,2021-02-22,,
1,Afghanistan,2021-02-23,,1367.0
2,Afghanistan,2021-02-24,,1367.0
3,Afghanistan,2021-02-25,,1367.0
4,Afghanistan,2021-02-26,,1367.0
5,Afghanistan,2021-02-27,,1367.0
6,Afghanistan,2021-02-28,,1367.0
7,Afghanistan,2021-03-01,,1580.0
8,Afghanistan,2021-03-02,,1794.0
9,Afghanistan,2021-03-03,,2008.0
10,Afghanistan,2021-03-04,,2221.0
11,Afghanistan,2021-03-05,,2435.0
12,Afghanistan,2021-03-06,,2649.0
13,Afghanistan,2021-03-07,,2862.0
14,Afghanistan,2021-03-08,,2862.0
15,Afghanistan,2021-03-09,,2862.0
16,Afghanistan,2021-03-10,,2862.0
17,Afghanistan,2021-03-11,,2862.0
18,Afghanistan,2021-03-12,,2862.0
19,Afghanistan,2021-03-13,,2862.0
20,Afghanistan,2021-03-14,,2862.0
21,Afghanistan,2021-03-15,,2862.0
22,Afghanistan,2021-03-16,,2862.0
23,Afghanistan,2021-03-17,,2882.0
24,Afghanistan,2021-03-18,,2902.0
25,Afghanistan,2021-03-19,,2921.0
26,Afghanistan,2021-03-20,,2941.0
27,Afghanistan,2021-03-21,,2961.0
28,Afghanistan,2021-03-22,,2980.0
29,Afghanistan,2021-03-23,,3000.0
30,Afghanistan,2021-03-24,,3000.0
31,Afghanistan,2021-03-25,,3000.0
32,Afghanistan,2021-03-26,,3000.0
33,Afghanistan,2021-03-27,,3000.0
34,Afghanistan,2021-03-28,,3000.0
35,Afghanistan,2021-03-29,,3000.0
36,Afghanistan,2021-03-30,,3000.0
37,Afghanistan,2021-03-31,,3000.0
38,Afghanistan,2021-04-01,,3000.0
39,Afghanistan,2021-04-02,,3000.0
40,Afghanistan,2021-04-03,,3000.0
41,Afghanistan,2021-04-04,,3000.0
42,Afghanistan,2021-04-05,,3000.0
43,Afghanistan,2021-04-06,,3000.0
44,Afghanistan,2021-04-07,,3000.0
45,Afghanistan,2021-04-08,,3714.0
46,Afghanistan,2021-04-09,,4429.0
47,Afghanistan,2021-04-10,,5143.0
48,Afghanistan,2021-04-11,,5857.0
49,Afghanistan,2021-04-12,,6571.0
50,Afghanistan,2021-04-13,,7286.0
51,Afghanistan,2021-04-14,,8000.0
52,Afghanistan,2021-04-15,,8000.0
53,Afghanistan,2021-04-16,,8000.0
54,Afghanistan,2021-04-17,,8000.0
55,Afghanistan,2021-04-18,,8000.0
56,Afghanistan,2021-04-19,,8000.0
57,Afghanistan,2021-04-20,,8000.0
58,Afghanistan,2021-04-21,,8000.0
59,Afghanistan,2021-04-22,,8000.0
60,Afghanistan,2021-04-23,,8846.0
61,Afghanistan,2021-04-24,,9692.0
62,Afghanistan,2021-04-25,,10538.0
63,Afghanistan,2021-04-26,,11384.0
64,Afghanistan,2021-04-27,,12229.0
65,Afghanistan,2021-04-28,,13075.0
66,Afghanistan,2021-04-29,,13921.0
67,Afghanistan,2021-04-30,,13921.0
68,Afghanistan,2021-05-01,,13921.0
69,Afghanistan,2021-05-02,,13921.0
70,Afghanistan,2021-05-03,,13921.0
71,Afghanistan,2021-05-04,,13921.0
72,Afghanistan,2021-05-05,,13921.0
73,Afghanistan,2021-05-06,,13921.0
74,Afghanistan,2021-05-07,,13921.0
75,Afghanistan,2021-05-08,,13921.0
76,Afghanistan,2021-05-09,,13921.0
77,Afghanistan,2021-05-10,,13921.0
78,Afghanistan,2021-05-11,55624.0,13921.0
79,Afghanistan,2021-05-12,,12621.0
80,Afghanistan,2021-05-13,,11321.0
81,Afghanistan,2021-05-14,,10022.0
82,Afghanistan,2021-05-15,,8722.0
83,Afghanistan,2021-05-16,,7422.0
84,Afghanistan,2021-05-17,,6122.0
85,Afghanistan,2021-05-18,,4822.0
86,Afghanistan,2021-05-19,,4822.0
87,Afghanistan,2021-05-20,77560.0,4822.0
88,Afghanistan,2021-05-21,,5040.0
89,Afghanistan,2021-05-22,,5257.0
90,Afghanistan,2021-05-23,,5474.0
