,title,artist,bpm,energy,danceability,liveness,valence
0,Senorita,Shawn Mendes,117,55,76,8,75
1,China,Anuel AA,105,81,79,8,61
2,boyfriend (with Social House),Ariana Grande,190,80,40,16,70
3,Beautiful People (feat. Khalid),Ed Sheeran,93,65,64,8,55
4,Goodbyes (Feat. Young Thug),Post Malone,150,65,58,11,18
5,I Don't Care (with Justin Bieber),Ed Sheeran,102,68,80,9,84
6,Ransom,Lil Tecca,180,64,75,7,23
7,How Do You Sleep?,Sam Smith,111,68,48,8,35
8,Old Town Road - Remix,Lil Nas X,136,62,88,11,64
9,bad guy,Billie Eilish,135,43,70,10,56
10,Callaita,Bad Bunny,176,62,61,24,24
11,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,96,71,82,15,38
12,Someone You Loved,Lewis Capaldi,110,41,50,11,45
13,Otro Trago - Remix,Sech,176,79,73,6,76
14,Money In The Grave (Drake ft. Rick Ross),Drake,101,50,83,12,10
15,No Guidance (feat. Drake),Chris Brown,93,45,70,16,14
16,LA CANCION,J Balvin,176,65,75,11,43
17,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,90,48,76,7,91
18,Lalala,Y2K,130,39,84,14,50
19,Truth Hurts,Lizzo,158,62,72,12,41
20,Piece Of Your Heart,MEDUZA,124,74,68,7,63
21,Panini,Lil Nas X,154,59,70,12,48
22,No Me Conoce - Remix,Jhay Cortez,92,79,81,9,58
23,Soltera - Remix,Lunay,92,78,80,44,80
24,bad guy (with Justin Bieber),Billie Eilish,135,45,67,12,68
25,If I Can't Have You,Shawn Mendes,124,82,69,13,87
26,Dance Monkey,Tones and I,98,59,82,18,54
27,It's You,Ali Gatie,96,46,73,19,40
28,Con Calma,Daddy Yankee,94,86,74,6,66
29,QUE PRETENDES,J Balvin,93,79,64,36,94
30,Takeaway,The Chainsmokers,85,51,29,10,36
31,7 rings,Ariana Grande,140,32,78,9,33
32,0.958333333,Maluma,96,71,78,9,68
33,The London (feat. J. Cole & Travis Scott),Young Thug,98,59,80,13,18
34,Never Really Over,Katy Perry,100,88,77,32,39
35,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,114,72,66,14,32
36,Otro Trago,Sech,176,70,75,11,62
37,Antisocial (with Travis Scott),Ed Sheeran,152,82,72,36,91
38,Sucker,Jonas Brothers,138,73,84,11,95
39,"fuck, i'm lonely (with Anne-Marie) - from 13 Reasons Why: Season 3",Lauv,95,56,81,6,68
40,Higher Love,Kygo,104,68,69,10,40
41,You Need To Calm Down,Taylor Swift,85,68,77,7,73
42,Shallow,Lady Gaga,96,39,57,23,32
43,Talk,Khalid,136,40,90,6,35
44,Con Altura,ROSALOA,98,69,88,5,75
45,One Thing Right,Marshmello,88,62,66,58,44
46,Te Robare,Nicky Jam,176,75,67,8,80
47,Happier,Marshmello,100,79,69,17,67
48,Call You Mine,The Chainsmokers,104,70,59,41,50
49,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,95,79,75,7,61
