,Survived,Pclass,Sex,Age,Fare
0,0,3,male,34.5,7.8292
1,1,3,female,47.0,7.0
2,0,2,male,62.0,9.6875
3,0,3,male,27.0,8.6625
4,1,3,female,22.0,12.2875
5,0,3,male,14.0,9.225
6,1,3,female,30.0,7.6292
7,0,2,male,26.0,29.0
8,1,3,female,18.0,7.2292
9,0,3,male,21.0,24.15
10,0,3,male,,7.8958
11,0,1,male,46.0,26.0
12,1,1,female,23.0,82.2667
13,0,2,male,63.0,26.0
14,1,1,female,47.0,61.175
15,1,2,female,24.0,27.7208
16,0,2,male,35.0,12.35
17,0,3,male,21.0,7.225
18,1,3,female,27.0,7.925
19,1,3,female,45.0,7.225
20,0,1,male,55.0,59.4
21,0,3,male,9.0,3.1708
22,1,1,female,,31.6833
23,0,1,male,21.0,61.3792
24,1,1,female,48.0,262.375
25,0,3,male,50.0,14.5
26,1,1,female,22.0,61.9792
27,0,3,male,22.5,7.225
28,0,1,male,41.0,30.5
29,0,3,male,,21.6792
30,0,2,male,50.0,26.0
31,0,2,male,24.0,31.5
32,1,3,female,33.0,20.575
33,1,3,female,,23.45
34,0,1,male,30.0,57.75
35,0,3,male,18.5,7.2292
36,1,3,female,,8.05
37,1,3,female,21.0,8.6625
38,0,3,male,25.0,9.5
39,0,3,male,,56.4958
40,0,3,male,39.0,13.4167
41,0,1,male,,26.55
42,0,3,male,41.0,7.85
43,1,2,female,30.0,13.0
44,1,1,female,45.0,52.5542
45,0,3,male,25.0,7.925
46,0,1,male,45.0,29.7
47,0,3,male,,7.75
48,1,1,female,60.0,76.2917
49,1,3,female,36.0,15.9
50,0,1,male,24.0,60.0
51,0,2,male,27.0,15.0333
52,1,2,female,20.0,23.0
53,1,1,female,28.0,263.0
54,0,2,male,,15.5792
55,0,3,male,10.0,29.125
56,0,3,male,35.0,7.8958
57,0,3,male,25.0,7.65
58,0,3,male,,16.1
59,1,1,female,36.0,262.375
60,0,3,male,17.0,7.8958
61,0,2,male,32.0,13.5
62,0,3,male,18.0,7.75
63,1,3,female,22.0,7.725
64,0,1,male,13.0,262.375
65,1,2,female,,21.0
66,1,3,female,18.0,7.8792
67,0,1,male,47.0,42.4
68,0,1,male,31.0,28.5375
69,1,1,female,60.0,263.0
70,1,3,female,24.0,7.75
71,0,3,male,21.0,7.8958
72,1,3,female,29.0,7.925
73,0,1,male,28.5,27.7208
74,1,1,female,35.0,211.5
75,0,1,male,32.5,211.5
76,0,3,male,,8.05
77,1,1,female,55.0,25.7
78,0,2,male,30.0,13.0
79,1,3,female,24.0,7.75
80,0,3,male,6.0,15.2458
81,0,1,male,67.0,221.7792
82,0,1,male,49.0,26.0
83,0,3,male,,7.8958
84,0,2,male,,10.7083
85,0,3,male,,14.4542
86,1,3,female,27.0,7.8792
87,1,3,female,18.0,8.05
88,1,3,female,,7.75
89,0,2,male,2.0,23.0
90,1,3,female,22.0,13.9
91,0,3,male,,7.775
92,1,1,female,27.0,52.0
93,0,3,male,,8.05
94,0,1,male,25.0,26.0
95,0,3,male,25.0,7.7958
96,1,1,female,76.0,78.85
97,0,3,male,29.0,7.925
98,1,3,female,20.0,7.8542
99,0,3,male,33.0,8.05
100,1,1,female,43.0,55.4417
101,0,2,male,27.0,26.0
102,0,3,male,,7.75
103,0,3,male,26.0,7.775
104,1,3,female,16.0,8.5167
105,0,3,male,28.0,22.525
106,0,3,male,21.0,7.8208
107,0,3,male,,7.75
108,0,3,male,,8.7125
109,0,2,male,18.5,13.0
110,0,2,male,41.0,15.0458
111,1,3,female,,7.7792
112,1,1,female,36.0,31.6792
113,1,3,female,18.5,7.2833
114,1,1,female,63.0,221.7792
115,0,3,male,18.0,14.4542
116,0,3,male,,6.4375
117,1,3,female,1.0,16.7
118,0,1,male,36.0,75.2417
119,1,2,female,29.0,26.0
120,1,2,female,12.0,15.75
121,0,3,male,,7.75
122,1,1,female,35.0,57.75
123,0,3,male,28.0,7.25
124,0,3,male,,7.75
125,1,3,female,17.0,16.1
126,0,3,male,22.0,7.7958
127,1,3,female,,23.25
128,0,2,male,42.0,13.0
129,0,3,male,24.0,8.05
130,0,3,male,32.0,8.05
131,0,1,male,53.0,28.5
132,1,3,female,,25.4667
133,0,3,male,,6.4375
134,0,3,male,43.0,7.8958
135,0,3,male,24.0,7.8542
136,0,3,male,26.5,7.225
137,0,2,male,26.0,13.0
138,1,3,female,23.0,8.05
139,0,3,male,40.0,46.9
140,1,3,female,10.0,46.9
141,1,1,female,33.0,151.55
142,0,1,male,61.0,262.375
143,0,2,male,28.0,26.0
144,0,1,male,42.0,26.55
145,0,3,male,31.0,18.0
146,0,1,male,,51.8625
147,0,3,male,22.0,8.05
148,0,1,male,,26.55
149,0,2,male,30.0,26.0
150,1,1,female,23.0,83.1583
151,0,3,male,,7.8958
152,0,3,male,60.5,
153,1,3,female,36.0,12.1833
154,0,3,male,13.0,31.3875
155,0,3,male,24.0,7.55
156,1,1,female,29.0,221.7792
157,1,3,female,23.0,7.8542
158,0,1,male,42.0,26.55
159,1,3,female,26.0,13.775
160,1,3,female,,7.7333
161,0,3,male,7.0,15.2458
162,1,2,female,26.0,13.5
163,0,3,male,,7.0
164,0,2,male,41.0,13.0
165,1,3,female,26.0,22.025
166,0,1,male,48.0,50.4958
167,0,3,male,18.0,34.375
168,1,1,female,,27.7208
169,1,3,female,22.0,8.9625
170,0,3,male,,7.55
171,0,3,male,27.0,7.225
172,0,3,male,23.0,13.9
173,0,3,male,,7.2292
174,0,3,male,40.0,31.3875
175,1,2,female,15.0,39.0
176,1,2,female,20.0,36.75
177,0,1,male,54.0,55.4417
178,1,2,female,36.0,39.0
179,1,1,female,64.0,83.1583
180,0,2,male,30.0,13.0
181,0,1,male,37.0,83.1583
